Id2,TRACT,BEDROOMS,meanBEDROOMS,totalHouseholds,meanHSize,totalFamilies,meanFamSize,totalAdults,married,neverMarried,totalHispanics,marriedHispanics,totalWhites,marriedWhites,workingMales,workingFemales,percent_nobachelor,percent_bachelor,percent_graduate,percent_bachelorPlus,percent_below_poverty,total_below_povertyPlus,households_1decile,households_2decile,households_3decile,households_4decile,households_5decile,households_6decile,households_7decile,households_8decile,households_9decile,households_topdecile,households_medianIncome,households_meanIncome,meanV
6037574602,5746.02,1795,3.1271777000000003,559,2.28,350.0,2.9,987.0,53.3,27.5,197.0,39.6,690.0,53.6,279.0,322.0,21.8,22.4,33.2,55.6,3.2,212.0,0.0,1.6,8.9,8.8,5.7,21.8,7.5,15.2,10.0,20.4,83304.0,119646.0,5.858934528
6037574800,5748.0,3390,2.15511761,1421,2.05,621.0,2.96,2129.0,36.1,40.2,243.0,9.5,1759.0,45.4,873.0,931.0,23.7,32.4,28.6,61.0,8.5,471.0,5.3,5.0,8.4,4.8,13.4,15.9,13.4,9.3,6.3,18.3,71745.0,123514.0,5.752548708
6037574901,5749.01,3671,2.5617585480000002,1402,2.68,965.0,3.23,2602.0,59.4,28.4,456.0,66.0,2226.0,58.7,1095.0,967.0,20.4,32.5,19.6,52.2,7.8,562.0,1.6,2.3,6.8,3.2,10.6,18.3,10.1,28.8,9.3,9.1,94338.0,102936.0,5.852022061
6037574902,5749.02,3595,1.896097046,1758,2.59,777.0,2.95,2489.0,25.9,60.8,867.0,29.8,2117.0,27.7,1308.0,1248.0,23.7,30.4,14.4,44.8,34.6,2015.0,17.4,3.1,5.1,8.8,13.0,20.0,13.5,13.7,3.5,2.0,51815.0,60368.0,5.845501176
6037575001,5750.01,3077,1.7613050940000001,1648,2.23,790.0,2.93,2640.0,35.6,48.9,648.0,29.2,1684.0,37.1,1404.0,956.0,29.3,28.7,14.1,42.8,12.5,872.0,6.8,5.7,6.8,7.8,9.0,19.2,18.6,18.0,6.5,1.6,69600.0,74628.0,5.705303442999999
6037575002,5750.02,3789,1.890718563,1869,2.36,884.0,3.18,3529.0,33.3,47.8,1124.0,35.9,2037.0,32.1,1413.0,1308.0,21.8,28.7,16.2,45.0,13.4,1127.0,6.6,2.8,8.5,7.8,8.3,24.8,12.4,18.2,5.8,4.8,65551.0,77027.0,5.736844347999999
6037575101,5751.01,2877,1.897757256,1402,3.07,997.0,3.44,2711.0,35.8,46.1,1815.0,37.6,519.0,30.6,1170.0,985.0,20.0,14.0,4.2,18.2,33.6,2423.0,8.2,10.6,19.8,9.3,13.9,23.8,4.1,3.7,5.3,1.4,36813.0,49384.0,5.7456541539999995
6037575102,5751.02,2259,1.782951855,1200,3.5,954.0,3.79,2414.0,30.6,51.6,1672.0,33.7,275.0,14.9,919.0,767.0,18.1,10.6,1.0,11.5,40.9,2992.0,16.6,13.5,20.4,13.0,7.3,14.2,9.4,5.0,0.6,0.0,24858.0,36380.0,5.694991005
6037575103,5751.03,3473,1.686741136,1981,2.5,1105.0,3.19,3058.0,23.4,62.0,1561.0,31.3,1141.0,18.8,1429.0,1410.0,27.2,19.9,6.0,26.0,28.1,2742.0,10.8,8.8,16.4,10.9,16.5,13.7,14.0,7.7,0.5,0.7,37050.0,46170.0,5.650149315
6037575201,5752.01,2633,1.9722846440000001,1191,3.87,1040.0,4.01,2464.0,39.8,44.0,1582.0,42.9,56.0,48.2,1094.0,951.0,20.8,8.6,2.7,11.3,24.8,2867.0,7.7,15.3,9.7,13.7,23.6,11.6,3.1,13.6,1.8,0.0,36908.0,47532.0,5.69541596
6037575202,5752.02,2305,1.803599374,1227,4.07,1064.0,4.26,2818.0,43.3,44.5,2130.0,42.9,96.0,15.6,1134.0,982.0,15.9,8.2,1.5,9.7,35.2,3209.0,9.1,13.5,14.1,13.4,14.4,20.6,7.9,4.0,2.1,0.7,34479.0,43857.0,5.854439641
6037575300,5753.0,2252,1.593772116,1383,3.74,970.0,4.52,2744.0,31.1,52.5,2069.0,36.7,146.0,28.8,1254.0,1086.0,19.4,7.9,2.7,10.5,31.3,3806.0,11.6,11.6,20.1,16.8,15.0,13.0,5.6,4.2,1.6,0.6,30828.0,38941.0,5.669466756
6037575401,5754.01,1993,1.528374233,1263,3.73,970.0,4.12,3021.0,33.5,54.0,3075.0,35.0,358.0,31.0,1582.0,888.0,15.3,6.1,1.3,7.3,40.2,4029.0,5.3,8.2,28.5,17.6,20.0,14.5,2.5,2.3,0.0,1.3,30204.0,37037.0,5.815380976
6037575402,5754.02,1735,1.632173095,1034,4.02,853.0,4.25,2105.0,33.4,51.5,2221.0,34.6,169.0,36.7,1105.0,793.0,11.6,5.7,1.3,7.0,33.9,2966.0,5.4,6.9,23.3,15.2,20.7,13.0,9.8,4.9,0.9,0.0,32500.0,42140.0,5.782619547
6037575801,5758.01,892,1.205405405,650,3.44,474.0,4.02,1233.0,27.2,59.2,1246.0,30.6,192.0,27.6,543.0,387.0,13.7,6.2,1.9,8.1,46.3,1906.0,14.9,13.7,16.5,29.2,12.9,5.1,3.4,3.7,0.0,0.6,26569.0,32825.0,5.836698845
6037575802,5758.02,2457,1.459893048,1543,3.42,1103.0,4.03,2846.0,32.0,51.1,2724.0,36.8,320.0,15.6,1261.0,1122.0,16.8,9.2,4.0,13.2,40.0,4030.0,9.5,10.4,23.0,16.1,14.9,13.9,6.9,3.0,1.7,0.6,28150.0,38419.0,5.87867324
